,Job Title,Rating,Average_salary,State
0,data scientist,3.5,146.0,NY
1,data scientist,4.5,146.0,NY
2,analyst,3.4,146.0,NJ
3,data scientist,3.4,146.0,NY
4,data scientist,2.9,146.0,NY
5,researcher,4.4,146.0,NY
6,other,5.0,146.0,NY
7,researcher,4.8,146.0,NY
8,data scientist,3.9,146.0,NY
9,data scientist,4.4,146.0,NY
10,data scientist,4.3,146.0,NY
11,data scientist,3.9,146.0,NY
12,data scientist,4.4,146.0,NY
13,data scientist,3.0,146.0,NY
14,data scientist,3.6,146.0,NY
15,data scientist,3.3,146.0,NY
16,data scientist,3.6,146.0,NY
17,data scientist,3.9,146.0,NY
18,data scientist,4.0,146.0,NY
19,data scientist,3.4,146.0,NY
20,researcher,4.1,146.0,NY
21,data engineer,3.4,146.0,NY
22,data scientist,4.4,146.0,NY
23,data scientist,3.8,146.0,NY
24,data scientist,4.1,146.0,NY
25,data scientist,3.3,146.0,NY
26,data scientist,5.0,146.0,NY
27,data scientist,3.3,146.0,NY
28,data scientist,4.3,130.0,NY
29,data scientist,3.7,130.0,NY
30,data scientist,4.3,130.0,NY
31,data scientist,3.0,130.0,NY
32,data scientist,3.7,130.0,NY
33,analyst,3.4,130.0,NY
34,data scientist,3.5,130.0,NY
35,data scientist,4.2,130.0,NY
36,data scientist,3.5,130.0,NY
37,data scientist,4.6,130.0,NY
38,data scientist,4.3,130.0,NY
39,analyst,4.1,130.0,NY
40,other,4.3,130.0,NY
41,data scientist,4.5,130.0,NY
42,data scientist,3.9,130.0,NY
43,data scientist,3.4,130.0,NY
44,data scientist,4.7,130.0,NY
45,analyst,3.6,130.0,NY
46,data scientist,3.5,130.0,NY
47,analyst,3.9,130.0,NY
48,data scientist,3.9,130.0,NY
49,data scientist,3.2,130.0,NY
50,data scientist,3.3,130.0,NY
51,data scientist,4.2,130.0,NY
52,data scientist,3.6,130.0,NY
53,data scientist,3.9,130.0,NY
54,data scientist,3.9,130.0,NY
55,data scientist,3.8,133.0,NY
56,data scientist,5.0,133.0,NY
57,data scientist,3.4,133.0,NY
58,data scientist,3.9,133.0,NJ
59,data scientist,4.4,133.0,NY
60,data scientist,3.0,133.0,NY
61,manager,4.0,133.0,NY
62,data scientist,3.9,133.0,NY
63,data scientist,3.6,133.0,NY
64,data scientist,3.9,133.0,NY
65,data scientist,2.8,133.0,NY
66,data scientist,4.1,133.0,NY
67,data engineer,4.4,99.0,NY
68,data scientist,3.3,99.0,NJ
69,data scientist,2.9,99.0,NY
70,data scientist,4.0,99.0,NY
71,data scientist,4.4,99.0,NY
72,data scientist,3.8,99.0,NY
73,data scientist,3.8,99.0,NY
74,data scientist,2.7,99.0,NY
75,data scientist,4.3,99.0,NY
76,data scientist,4.5,99.0,NY
77,data scientist,3.9,99.0,NY
78,data scientist,3.3,99.0,NY
79,other,3.8,99.0,NY
80,data scientist,3.6,99.0,NY
81,data scientist,3.3,99.0,NY
82,analyst,4.1,99.0,NY
83,data scientist,2.8,99.0,NY
84,data scientist,3.4,99.0,NY
85,data scientist,3.4,99.0,NY
86,data scientist,2.9,99.0,NY
87,machine learning engineer,4.8,99.0,NY
88,data scientist,3.9,99.0,NY
89,data scientist,3.8,99.0,NY
90,data scientist,5.0,99.0,NY
91,data scientist,4.2,99.0,NY
92,data engineer,4.7,111.5,NY
93,data scientist,2.8,111.5,NY
94,data scientist,4.2,111.5,NY
95,analyst,4.0,111.5,NY
96,data scientist,4.9,111.5,NY
97,data scientist,4.0,111.5,NY
98,data scientist,3.4,111.5,NY
99,data scientist,2.7,111.5,NY
100,data scientist,3.5,111.5,NY
101,data scientist,3.4,111.5,NY
102,data scientist,3.3,111.5,NY
103,data scientist,2.5,111.5,NY
104,other,4.4,111.5,NY
105,data scientist,4.4,111.5,NY
106,data scientist,4.1,111.5,NY
107,data scientist,4.8,111.5,NY
108,data scientist,3.6,111.5,NY
109,data scientist,3.8,111.5,NY
110,data scientist,5.0,111.5,NY
111,data scientist,3.9,111.5,NY
112,data scientist,4.5,111.5,NY
113,analyst,4.4,111.5,NY
114,data scientist,1.0,111.5,NY
115,data scientist,4.0,111.5,NY
116,data scientist,3.6,111.5,NY
117,data scientist,3.7,111.5,NJ
118,data scientist,3.4,169.5,NY
119,data engineer,4.7,169.5,NY
120,data scientist,3.8,169.5,NY
121,data scientist,4.9,169.5,NY
122,data scientist,4.2,169.5,NY
123,data scientist,3.4,169.5,NJ
124,data scientist,3.9,169.5,NY
125,data scientist,4.4,169.5,NY
126,other,3.9,169.5,NY
127,data scientist,4.8,169.5,NJ
128,analyst,5.0,169.5,NY
129,data scientist,4.0,169.5,NY
130,data scientist,5.0,169.5,NY
131,data scientist,3.9,169.5,NY
132,data scientist,3.8,169.5,NY
133,data scientist,3.3,169.5,NY
134,data scientist,2.8,169.5,NY
135,data scientist,4.0,169.5,NY
136,data scientist,3.6,169.5,NY
137,data scientist,3.7,169.5,NY
138,data scientist,3.9,169.5,NY
139,data scientist,4.2,169.5,NY
140,data scientist,1.9,169.5,NY
141,data scientist,3.5,169.5,NY
142,analyst,3.8,205.0,NY
143,analyst,4.4,205.0,NY
144,analyst,5.0,205.0,NY
145,analyst,3.4,205.0,NY
146,data scientist,3.1,205.0,NY
147,data scientist,3.4,205.0,NY
148,analyst,3.5,205.0,NY
149,data scientist,4.0,205.0,NY
150,data scientist,3.4,205.0,NY
151,data scientist,3.6,205.0,NY
152,machine learning engineer,3.0,205.0,NY
