,Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Senior Data Scientist, 111 - 181  (Glassdoor est.),3.5,"Hopper
3.5","New York, NY",501 to 1000 employees,2007,Company - Private,Travel Agencies,Travel & Tourism,Unknown / Non-Applicable
1,"Data Scientist, Product Analytics", 111 - 181  (Glassdoor est.),4.5,"Noom US
4.5","New York, NY",1001 to 5000 employees,2008,Company - Private,"Health, Beauty, & Fitness",Consumer Services,Unknown / Non-Applicable
2,Data Science Manager, 111 - 181  (Glassdoor est.),-1.0,Decode_M,"New York, NY",1 to 50 employees,-1,Unknown,-1,-1,Unknown / Non-Applicable
3,Data Analyst, 111 - 181  (Glassdoor est.),3.4,"Sapphire Digital
3.4","Lyndhurst, NJ",201 to 500 employees,2019,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
4,"Director, Data Science", 111 - 181  (Glassdoor est.),3.4,"United Entertainment Group
3.4","New York, NY",51 to 200 employees,2007,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable
5,Data Scientist, 111 - 181  (Glassdoor est.),2.9,"IFG Companies
2.9","New York, NY",201 to 500 employees,1985,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable
6,Quantitative Researcher, 111 - 181  (Glassdoor est.),4.4,"PDT Partners
4.4","New York, NY",51 to 200 employees,1993,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
7,Quantitative Research Associate, 111 - 181  (Glassdoor est.),-1.0,Enlightenment Research,"New York, NY",1 to 50 employees,-1,Unknown,-1,-1,Unknown / Non-Applicable
8,AI Scientist, 111 - 181  (Glassdoor est.),5.0,"Paige
5.0","New York, NY",1 to 50 employees,2018,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
9,Quantitative Researcher, 111 - 181  (Glassdoor est.),4.8,"Jane Street
4.8","New York, NY",501 to 1000 employees,2000,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
10,Data Scientist, 111 - 181  (Glassdoor est.),3.9,"Quartet Health
3.9","New York, NY",201 to 500 employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
11,Data Scientist/Machine Learning, 111 - 181  (Glassdoor est.),4.4,"PulsePoint
4.4","New York, NY",51 to 200 employees,2011,Company - Private,Internet,Information Technology,$100 to $500 million (USD)
12,"Data Scientist, Acorn AI Labs", 111 - 181  (Glassdoor est.),4.3,"Medidata Solutions
4.3","New York, NY",1001 to 5000 employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$500 million to $1 billion (USD)
13,Data Scientist, 111 - 181  (Glassdoor est.),3.9,"Point72
3.9","New York, NY",1001 to 5000 employees,2014,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
14,Data Scientist - Alpha Insights, 111 - 181  (Glassdoor est.),4.4,"Two Sigma
4.4","New York, NY",1001 to 5000 employees,2001,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
15,Data Scientist, 111 - 181  (Glassdoor est.),3.0,"Affinity Solutions
3.0","New York, NY",51 to 200 employees,1998,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable
16,"Data Scientist, Analytics", 111 - 181  (Glassdoor est.),3.6,"Etsy
3.6","Brooklyn, NY",501 to 1000 employees,2005,Company - Public,Other Retail Stores,Retail,$100 to $500 million (USD)
17,Data Scientist/ML Engineer, 111 - 181  (Glassdoor est.),3.3,"PA Consulting
3.3","New York, NY",1001 to 5000 employees,1943,Company - Private,Consulting,Business Services,$100 to $500 million (USD)
18,Data Scientist, 111 - 181  (Glassdoor est.),3.6,"Etsy
3.6","New York, NY",501 to 1000 employees,2005,Company - Public,Other Retail Stores,Retail,$100 to $500 million (USD)
19,"VP, Data Science", 111 - 181  (Glassdoor est.),3.9,"7Park Data
3.9","New York, NY",51 to 200 employees,2012,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable
20,"Data Scientist, Disney+ Personalization", 111 - 181  (Glassdoor est.),4.0,"Walt Disney Co.
4.0","New York, NY",10000+ employees,1923,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD)
21,"Senior Data Scientist, Data Science Operations", 111 - 181  (Glassdoor est.),3.4,"Squarespace
3.4","New York, NY",1001 to 5000 employees,2003,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
22,Quantitative Researcher – Intern (US), 111 - 181  (Glassdoor est.),4.1,"Citadel Securities
4.1","New York, NY",201 to 500 employees,2002,Company - Private,Brokerage Services,Finance,Unknown / Non-Applicable
23,Senior Data Engineer (Healthcare Domain experience required), 111 - 181  (Glassdoor est.),3.4,"Enterprise Integration
3.4","New York, NY",51 to 200 employees,1998,Company - Private,IT Services,Information Technology,$25 to $50 million (USD)
24,Data Scientist, 111 - 181  (Glassdoor est.),4.4,"WITHIN
4.4","New York, NY",51 to 200 employees,2015,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable
25,"Data Scientist, Marketplace Economics", 111 - 181  (Glassdoor est.),3.8,"Spotify
3.8","New York, NY",1001 to 5000 employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable
26,Data Scientist, 111 - 181  (Glassdoor est.),4.1,"Datadog
4.1","New York, NY",1001 to 5000 employees,2010,Company - Public,Computer Hardware & Software,Information Technology,$100 to $500 million (USD)
27,Lead Data Scientist, 111 - 181  (Glassdoor est.),3.3,"Aetna
3.3","New York, NY",10000+ employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD)
28,"Data Scientist, Personalization", 111 - 181  (Glassdoor est.),5.0,"Hungryroot
5.0","New York, NY",1 to 50 employees,2015,Company - Private,"Health, Beauty, & Fitness",Consumer Services,$25 to $50 million (USD)
29,Principal Data Scientist, 111 - 181  (Glassdoor est.),3.3,"Aetna
3.3","New York, NY",10000+ employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD)
30,Data Scientist, 120 - 140  (Glassdoor est.),4.3,"Caserta
4.3","New York, NY",51 to 200 employees,2001,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
31,"Data Scientist, Decisions", 120 - 140  (Glassdoor est.),3.7,"Lyft
3.7","New York, NY",5001 to 10000 employees,2012,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
32,Data Scientist, 120 - 140  (Glassdoor est.),4.3,"IBG LLC
4.3","New York, NY",201 to 500 employees,1990,Company - Private,Brokerage Services,Finance,$100 to $500 million (USD)
33,Data Scientist, 120 - 140  (Glassdoor est.),3.0,"CLEAR
3.0","New York, NY",1001 to 5000 employees,2010,Company - Private,Security Services,Business Services,Unknown / Non-Applicable
34,Data Science Analyst, 120 - 140  (Glassdoor est.),3.7,"GNY Insurance Companies
3.7","New York, NY",201 to 500 employees,1914,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD)
35,"Senior Data Analyst, Insights & Analytics Team [Customer Operations]", 120 - 140  (Glassdoor est.),3.4,"Squarespace
3.4","New York, NY",1001 to 5000 employees,2003,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
36,Data Scientist, 120 - 140  (Glassdoor est.),3.5,"Andiamo
3.5","New York, NY",201 to 500 employees,-1,Company - Private,Casual Restaurants,"Restaurants, Bars & Food Services",$1 to $5 million (USD)
37,Data Scientist, 120 - 140  (Glassdoor est.),4.2,"infarm
4.2","New York, NY",501 to 1000 employees,2013,Company - Private,Food & Beverage Stores,Retail,Unknown / Non-Applicable
38,Data Scientist for Alpha Insights, 120 - 140  (Glassdoor est.),3.5,"Andiamo
3.5","New York, NY",201 to 500 employees,-1,Company - Private,Casual Restaurants,"Restaurants, Bars & Food Services",$1 to $5 million (USD)
39,"Data Scientist, Analytics", 120 - 140  (Glassdoor est.),4.6,"Bowery Farming
4.6","New York, NY",51 to 200 employees,2015,Company - Private,Food Production,Agriculture & Forestry,Unknown / Non-Applicable
40,Data Scientist, 120 - 140  (Glassdoor est.),4.3,"NorthOne
4.3","New York, NY",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
41,Quantitative Researcher / Quantitative Research Analyst, 120 - 140  (Glassdoor est.),4.1,"Citadel Securities
4.1","New York, NY",201 to 500 employees,2002,Company - Private,Brokerage Services,Finance,Unknown / Non-Applicable
42,Technical Data Consultant, 120 - 140  (Glassdoor est.),4.3,"Braze
4.3","New York, NY",501 to 1000 employees,2011,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD)
